frequency	e'	e''	u'	u''
1200000000.0000	   6.5643	   0.8424	   1.0406	   0.0139
1280000000.0000	   6.5403	   0.8335	   1.0366	   0.0135
1360000000.0000	   6.5089	   0.8269	   1.0354	   0.0180
1440000000.0000	   6.4839	   0.8253	   1.0339	   0.0202
1520000000.0000	   6.4570	   0.8091	   1.0298	   0.0216
1600000000.0000	   6.4312	   0.8040	   1.0280	   0.0234
1680000000.0000	   6.4115	   0.8055	   1.0274	   0.0238
1760000000.0000	   6.3826	   0.7870	   1.0272	   0.0304
1840000000.0000	   6.3601	   0.7821	   1.0262	   0.0335
1920000000.0000	   6.3421	   0.7832	   1.0230	   0.0321
2000000000.0000	   6.3174	   0.7776	   1.0243	   0.0354
2080000000.0000	   6.2996	   0.7750	   1.0243	   0.0384
2160000000.0000	   6.2843	   0.7690	   1.0203	   0.0385
2240000000.0000	   6.2618	   0.7702	   1.0193	   0.0390
2320000000.0000	   6.2416	   0.7687	   1.0204	   0.0410
2400000000.0000	   6.2249	   0.7596	   1.0194	   0.0438
2480000000.0000	   6.2088	   0.7684	   1.0177	   0.0422
2560000000.0000	   6.1948	   0.7767	   1.0172	   0.0412
2640000000.0000	   6.1824	   0.7719	   1.0142	   0.0409
2720000000.0000	   6.1723	   0.7650	   1.0097	   0.0403
2800000000.0000	   6.1586	   0.7683	   1.0082	   0.0381
2880000000.0000	   6.1382	   0.7693	   1.0098	   0.0391
2960000000.0000	   6.1328	   0.7675	   1.0065	   0.0398
3040000000.0000	   6.1315	   0.7650	   0.9986	   0.0359
3120000000.0000	   6.1171	   0.7657	   0.9972	   0.0348
3200000000.0000	   6.1004	   0.7583	   0.9952	   0.0359
3280000000.0000	   6.0943	   0.7462	   0.9901	   0.0355
3360000000.0000	   6.0849	   0.7472	   0.9867	   0.0329
3440000000.0000	   6.0669	   0.7431	   0.9876	   0.0330
3520000000.0000	   6.0587	   0.7318	   0.9855	   0.0357
3600000000.0000	   6.0569	   0.7281	   0.9812	   0.0337
3680000000.0000	   6.0440	   0.7298	   0.9808	   0.0310
3760000000.0000	   6.0224	   0.7218	   0.9832	   0.0331
3840000000.0000	   6.0226	   0.7133	   0.9792	   0.0331
3920000000.0000	   6.0159	   0.7166	   0.9770	   0.0295
4000000000.0000	   5.9953	   0.7163	   0.9810	   0.0303
4080000000.0000	   5.9880	   0.7030	   0.9806	   0.0320
4160000000.0000	   5.9919	   0.6979	   0.9774	   0.0312
4240000000.0000	   5.9820	   0.7074	   0.9770	   0.0287
4320000000.0000	   5.9627	   0.7037	   0.9790	   0.0299
4400000000.0000	   5.9635	   0.6923	   0.9752	   0.0294
4480000000.0000	   5.9667	   0.6871	   0.9718	   0.0268
4560000000.0000	   5.9477	   0.6847	   0.9748	   0.0272
4640000000.0000	   5.9357	   0.6767	   0.9752	   0.0306
4720000000.0000	   5.9413	   0.6770	   0.9695	   0.0274
4800000000.0000	   5.9347	   0.6813	   0.9686	   0.0232
4880000000.0000	   5.9157	   0.6694	   0.9720	   0.0247
4960000000.0000	   5.9218	   0.6560	   0.9702	   0.0266
5040000000.0000	   5.9307	   0.6649	   0.9659	   0.0219
5120000000.0000	   5.9159	   0.6646	   0.9669	   0.0197
5200000000.0000	   5.9003	   0.6488	   0.9695	   0.0227
5280000000.0000	   5.9201	   0.6440	   0.9654	   0.0222
5360000000.0000	   5.9303	   0.6610	   0.9616	   0.0172
5440000000.0000	   5.9079	   0.6491	   0.9636	   0.0185
5520000000.0000	   5.9049	   0.6314	   0.9616	   0.0197
5600000000.0000	   5.9167	   0.6322	   0.9593	   0.0159
5680000000.0000	   5.9132	   0.6347	   0.9597	   0.0144
5760000000.0000	   5.9088	   0.6162	   0.9604	   0.0198
5840000000.0000	   5.9199	   0.6112	   0.9557	   0.0200
5920000000.0000	   5.9172	   0.6293	   0.9554	   0.0133
6000000000.0000	   5.9038	   0.6153	   0.9576	   0.0149
6080000000.0000	   5.9160	   0.5912	   0.9555	   0.0207
6160000000.0000	   5.9273	   0.6137	   0.9521	   0.0164
6240000000.0000	   5.9143	   0.6261	   0.9535	   0.0121
6320000000.0000	   5.9059	   0.6018	   0.9554	   0.0167
6400000000.0000	   5.9285	   0.5930	   0.9518	   0.0177
6480000000.0000	   5.9313	   0.6222	   0.9507	   0.0117
6560000000.0000	   5.9157	   0.6196	   0.9522	   0.0115
6640000000.0000	   5.9354	   0.5973	   0.9479	   0.0153
6720000000.0000	   5.9428	   0.6058	   0.9466	   0.0124
6800000000.0000	   5.9267	   0.6230	   0.9489	   0.0079
6880000000.0000	   5.9314	   0.6025	   0.9471	   0.0113
6960000000.0000	   5.9474	   0.6033	   0.9430	   0.0108
7040000000.0000	   5.9372	   0.6240	   0.9445	   0.0047
7120000000.0000	   5.9271	   0.6109	   0.9463	   0.0055
7200000000.0000	   5.9617	   0.5945	   0.9420	   0.0089
7280000000.0000	   5.9669	   0.6128	   0.9394	   0.0065
7360000000.0000	   5.9394	   0.6243	   0.9424	   0.0023
7440000000.0000	   5.9455	   0.6161	   0.9429	   0.0039
7520000000.0000	   5.9757	   0.6212	   0.9368	   0.0042
7600000000.0000	   5.9622	   0.6375	   0.9385	   0.0008
7680000000.0000	   5.9414	   0.6321	   0.9413	   0.0001
7760000000.0000	   5.9643	   0.6314	   0.9377	   0.0014
7840000000.0000	   5.9726	   0.6422	   0.9357	   0.0000
7920000000.0000	   5.9518	   0.6476	   0.9383	  -0.0020
8000000000.0000	   5.9511	   0.6428	   0.9385	  -0.0013
8080000000.0000	   5.9720	   0.6582	   0.9345	  -0.0019
8160000000.0000	   5.9618	   0.6679	   0.9347	  -0.0044
8240000000.0000	   5.9443	   0.6581	   0.9383	  -0.0045
8320000000.0000	   5.9642	   0.6661	   0.9353	  -0.0052
8400000000.0000	   5.9817	   0.6796	   0.9315	  -0.0061
8480000000.0000	   5.9683	   0.6793	   0.9336	  -0.0083
8560000000.0000	   5.9626	   0.6693	   0.9354	  -0.0076
8640000000.0000	   5.9913	   0.6949	   0.9300	  -0.0099
8720000000.0000	   5.9918	   0.7050	   0.9291	  -0.0116
8800000000.0000	   5.9847	   0.6782	   0.9310	  -0.0104
8880000000.0000	   6.0041	   0.6873	   0.9295	  -0.0113
8960000000.0000	   6.0170	   0.7140	   0.9252	  -0.0143
9040000000.0000	   6.0133	   0.7014	   0.9264	  -0.0140
9120000000.0000	   6.0194	   0.6755	   0.9272	  -0.0116
9200000000.0000	   6.0373	   0.7065	   0.9240	  -0.0145
9280000000.0000	   6.0375	   0.7286	   0.9223	  -0.0172
9360000000.0000	   6.0493	   0.6892	   0.9223	  -0.0139
9440000000.0000	   6.0693	   0.6914	   0.9208	  -0.0136
9520000000.0000	   6.0706	   0.7272	   0.9184	  -0.0170
9600000000.0000	   6.0736	   0.7223	   0.9173	  -0.0166
9680000000.0000	   6.0999	   0.6903	   0.9160	  -0.0126
9760000000.0000	   6.1040	   0.7306	   0.9140	  -0.0165
9840000000.0000	   6.0865	   0.7427	   0.9141	  -0.0181
9920000000.0000	   6.1186	   0.7099	   0.9113	  -0.0142
10000000000.0000	   6.1569	   0.7110	   0.9075	  -0.0128
10080000000.0000	   6.1348	   0.7608	   0.9070	  -0.0176
10160000000.0000	   6.1180	   0.7460	   0.9078	  -0.0165
10240000000.0000	   6.1778	   0.7127	   0.9021	  -0.0119
10320000000.0000	   6.2010	   0.7580	   0.8986	  -0.0152
10400000000.0000	   6.1747	   0.7859	   0.8984	  -0.0183
10480000000.0000	   6.2038	   0.7642	   0.8942	  -0.0163
10560000000.0000	   6.2732	   0.7765	   0.8862	  -0.0166
10640000000.0000	   6.2580	   0.8206	   0.8852	  -0.0215
10720000000.0000	   6.2528	   0.8218	   0.8838	  -0.0226
10800000000.0000	   6.3142	   0.8215	   0.8766	  -0.0226
10880000000.0000	   6.3406	   0.8749	   0.8720	  -0.0283
10960000000.0000	   6.3121	   0.8810	   0.8733	  -0.0304
11040000000.0000	   6.3593	   0.8799	   0.8677	  -0.0306
11120000000.0000	   6.4282	   0.9311	   0.8591	  -0.0348
11200000000.0000	   6.3934	   0.9761	   0.8606	  -0.0403
11280000000.0000	   6.3829	   0.9553	   0.8608	  -0.0398
11360000000.0000	   6.4786	   0.9752	   0.8500	  -0.0408
11440000000.0000	   6.5157	   1.0675	   0.8439	  -0.0493
11520000000.0000	   6.4710	   1.0845	   0.8464	  -0.0522
11600000000.0000	   6.5122	   1.0648	   0.8413	  -0.0506
11680000000.0000	   6.6194	   1.1497	   0.8282	  -0.0576
11760000000.0000	   6.6009	   1.2252	   0.8273	  -0.0655
11840000000.0000	   6.5812	   1.2059	   0.8281	  -0.0645
11920000000.0000	   6.6791	   1.2546	   0.8157	  -0.0682
12000000000.0000	   6.7331	   1.3715	   0.8068	  -0.0788
12080000000.0000	   6.6973	   1.4032	   0.8081	  -0.0830
12160000000.0000	   6.7299	   1.4171	   0.8030	  -0.0842
12240000000.0000	   6.8023	   1.5515	   0.7909	  -0.0958
12320000000.0000	   6.7760	   1.6944	   0.7878	  -0.1108
12400000000.0000	   6.7959	   1.6825	   0.7848	  -0.1099
12480000000.0000	   6.8817	   1.8154	   0.7710	  -0.1203
12560000000.0000	   6.8362	   2.1463	   0.7616	  -0.1522
12640000000.0000	   6.7419	   2.2551	   0.7634	  -0.1667
12720000000.0000	   6.8142	   2.2895	   0.7534	  -0.1678
12800000000.0000	   6.8027	   2.6786	   0.7339	  -0.2021
