Sample holder length =	6.9500e-003 meters
Sample thickness =	4.7400e-003 meters
Distance to sample =	0.0000e+000 meters
Sample holder Fco =	0.0000e+000 GHz
 
frequency	s11r	s11i	s21r	s21i	s12r	s12i	s22r	s22i
1200000000.0000	  -0.1631	  -0.2509	   0.8069	  -0.4202	   0.8072	  -0.4211	  -0.1862	  -0.2313
1280000000.0000	  -0.1780	  -0.2605	   0.7888	  -0.4391	   0.7890	  -0.4402	  -0.2029	  -0.2370
1360000000.0000	  -0.1922	  -0.2682	   0.7703	  -0.4568	   0.7707	  -0.4580	  -0.2193	  -0.2415
1440000000.0000	  -0.2067	  -0.2747	   0.7515	  -0.4735	   0.7517	  -0.4747	  -0.2364	  -0.2453
1520000000.0000	  -0.2207	  -0.2823	   0.7334	  -0.4898	   0.7333	  -0.4907	  -0.2528	  -0.2476
1600000000.0000	  -0.2350	  -0.2884	   0.7146	  -0.5048	   0.7145	  -0.5056	  -0.2693	  -0.2485
1680000000.0000	  -0.2501	  -0.2922	   0.6954	  -0.5187	   0.6953	  -0.5196	  -0.2861	  -0.2494
1760000000.0000	  -0.2626	  -0.2972	   0.6770	  -0.5326	   0.6764	  -0.5332	  -0.3017	  -0.2489
1840000000.0000	  -0.2764	  -0.3003	   0.6581	  -0.5451	   0.6572	  -0.5455	  -0.3175	  -0.2480
1920000000.0000	  -0.2914	  -0.3026	   0.6392	  -0.5563	   0.6384	  -0.5569	  -0.3335	  -0.2461
2000000000.0000	  -0.3042	  -0.3040	   0.6205	  -0.5675	   0.6195	  -0.5677	  -0.3488	  -0.2432
2080000000.0000	  -0.3174	  -0.3046	   0.6014	  -0.5778	   0.6006	  -0.5777	  -0.3642	  -0.2401
2160000000.0000	  -0.3317	  -0.3064	   0.5828	  -0.5870	   0.5822	  -0.5874	  -0.3786	  -0.2359
2240000000.0000	  -0.3446	  -0.3059	   0.5648	  -0.5953	   0.5637	  -0.5959	  -0.3930	  -0.2308
2320000000.0000	  -0.3564	  -0.3042	   0.5467	  -0.6039	   0.5451	  -0.6037	  -0.4076	  -0.2256
2400000000.0000	  -0.3687	  -0.3041	   0.5283	  -0.6120	   0.5270	  -0.6113	  -0.4209	  -0.2196
2480000000.0000	  -0.3820	  -0.3010	   0.5104	  -0.6178	   0.5093	  -0.6180	  -0.4343	  -0.2131
2560000000.0000	  -0.3948	  -0.2974	   0.4927	  -0.6234	   0.4914	  -0.6242	  -0.4473	  -0.2058
2640000000.0000	  -0.4067	  -0.2961	   0.4752	  -0.6297	   0.4742	  -0.6297	  -0.4602	  -0.1978
2720000000.0000	  -0.4189	  -0.2952	   0.4581	  -0.6352	   0.4570	  -0.6350	  -0.4724	  -0.1894
2800000000.0000	  -0.4313	  -0.2913	   0.4413	  -0.6395	   0.4403	  -0.6402	  -0.4836	  -0.1807
2880000000.0000	  -0.4411	  -0.2866	   0.4247	  -0.6441	   0.4235	  -0.6447	  -0.4946	  -0.1716
2960000000.0000	  -0.4522	  -0.2830	   0.4077	  -0.6481	   0.4066	  -0.6483	  -0.5061	  -0.1626
3040000000.0000	  -0.4658	  -0.2811	   0.3915	  -0.6509	   0.3907	  -0.6519	  -0.5163	  -0.1526
3120000000.0000	  -0.4761	  -0.2763	   0.3759	  -0.6539	   0.3748	  -0.6554	  -0.5260	  -0.1424
3200000000.0000	  -0.4848	  -0.2728	   0.3603	  -0.6575	   0.3594	  -0.6582	  -0.5354	  -0.1319
3280000000.0000	  -0.4956	  -0.2711	   0.3448	  -0.6603	   0.3436	  -0.6612	  -0.5442	  -0.1210
3360000000.0000	  -0.5062	  -0.2654	   0.3307	  -0.6622	   0.3280	  -0.6635	  -0.5528	  -0.1106
3440000000.0000	  -0.5142	  -0.2597	   0.3158	  -0.6651	   0.3131	  -0.6657	  -0.5605	  -0.0995
3520000000.0000	  -0.5221	  -0.2565	   0.2994	  -0.6680	   0.2985	  -0.6669	  -0.5682	  -0.0876
