frequency	e'	e''	u'	u''
1200000000.0000	  16.6110	   0.0601	   1.9163	   0.4099
1280000000.0000	  16.6327	   0.0551	   1.8865	   0.4126
1360000000.0000	  16.6297	   0.0600	   1.8658	   0.4183
1440000000.0000	  16.6396	   0.0755	   1.8464	   0.4150
1520000000.0000	  16.6374	   0.0548	   1.8212	   0.4196
1600000000.0000	  16.6332	   0.0540	   1.8033	   0.4190
1680000000.0000	  16.6452	   0.0712	   1.7916	   0.4161
1760000000.0000	  16.6274	   0.0430	   1.7806	   0.4287
1840000000.0000	  16.6266	   0.0462	   1.7660	   0.4330
1920000000.0000	  16.6334	   0.0574	   1.7526	   0.4290
2000000000.0000	  16.6179	   0.0591	   1.7486	   0.4329
2080000000.0000	  16.6208	   0.0653	   1.7418	   0.4385
2160000000.0000	  16.6267	   0.0603	   1.7259	   0.4394
2240000000.0000	  16.6143	   0.0769	   1.7181	   0.4381
2320000000.0000	  16.6054	   0.0817	   1.7169	   0.4445
2400000000.0000	  16.6033	   0.0722	   1.7080	   0.4503
2480000000.0000	  16.6031	   0.1044	   1.7014	   0.4465
2560000000.0000	  16.6085	   0.1334	   1.6988	   0.4440
2640000000.0000	  16.6138	   0.1349	   1.6862	   0.4427
2720000000.0000	  16.6202	   0.1230	   1.6693	   0.4420
2800000000.0000	  16.6175	   0.1402	   1.6642	   0.4385
2880000000.0000	  16.5979	   0.1515	   1.6648	   0.4415
2960000000.0000	  16.6155	   0.1575	   1.6526	   0.4440
3040000000.0000	  16.6403	   0.1598	   1.6325	   0.4369
3120000000.0000	  16.6296	   0.1666	   1.6268	   0.4346
3200000000.0000	  16.6149	   0.1534	   1.6184	   0.4395
3280000000.0000	  16.6235	   0.1317	   1.6007	   0.4385
3360000000.0000	  16.6278	   0.1403	   1.5932	   0.4358
3440000000.0000	  16.6067	   0.1303	   1.5922	   0.4403
3520000000.0000	  16.6133	   0.1113	   1.5800	   0.4473
3600000000.0000	  16.6336	   0.1087	   1.5673	   0.4456
3680000000.0000	  16.6272	   0.1162	   1.5659	   0.4438
3760000000.0000	  16.5983	   0.1011	   1.5670	   0.4530
3840000000.0000	  16.6215	   0.0873	   1.5511	   0.4523
3920000000.0000	  16.6279	   0.1026	   1.5455	   0.4484
4000000000.0000	  16.6006	   0.0998	   1.5531	   0.4564
4080000000.0000	  16.6080	   0.0769	   1.5472	   0.4626
4160000000.0000	  16.6381	   0.0743	   1.5350	   0.4643
4240000000.0000	  16.6358	   0.0985	   1.5326	   0.4632
4320000000.0000	  16.6166	   0.0949	   1.5338	   0.4703
4400000000.0000	  16.6349	   0.0831	   1.5206	   0.4690
4480000000.0000	  16.6613	   0.0776	   1.5095	   0.4675
4560000000.0000	  16.6370	   0.0672	   1.5113	   0.4757
4640000000.0000	  16.6360	   0.0621	   1.5064	   0.4837
4720000000.0000	  16.6583	   0.0771	   1.4912	   0.4773
4800000000.0000	  16.6597	   0.0877	   1.4865	   0.4743
4880000000.0000	  16.6465	   0.0600	   1.4894	   0.4825
4960000000.0000	  16.6758	   0.0421	   1.4788	   0.4859
5040000000.0000	  16.7049	   0.0749	   1.4679	   0.4778
5120000000.0000	  16.6946	   0.0693	   1.4669	   0.4790
5200000000.0000	  16.6924	   0.0475	   1.4675	   0.4874
5280000000.0000	  16.7435	   0.0588	   1.4554	   0.4850
5360000000.0000	  16.7792	   0.0984	   1.4451	   0.4776
5440000000.0000	  16.7722	   0.0720	   1.4444	   0.4849
5520000000.0000	  16.7882	   0.0548	   1.4366	   0.4853
5600000000.0000	  16.8220	   0.0735	   1.4290	   0.4784
5680000000.0000	  16.8418	   0.0779	   1.4240	   0.4801
5760000000.0000	  16.8864	   0.0576	   1.4190	   0.4920
