Sample holder length =	6.9500e-003 meters
Sample thickness =	2.0000e-003 meters
Distance to sample =	0.0000e+000 meters
Sample holder Fco =	0.0000e+000 GHz
 
frequency	s11r	s11i	s21r	s21i	s12r	s12i	s22r	s22i
1200000000.0000	  -0.1366	  -0.3109	   0.7790	  -0.5036	   0.7794	  -0.5047	  -0.2125	  -0.2621
1280000000.0000	  -0.1533	  -0.3259	   0.7537	  -0.5261	   0.7541	  -0.5275	  -0.2366	  -0.2671
1360000000.0000	  -0.1698	  -0.3389	   0.7278	  -0.5467	   0.7285	  -0.5482	  -0.2608	  -0.2696
1440000000.0000	  -0.1871	  -0.3501	   0.7016	  -0.5658	   0.7020	  -0.5673	  -0.2859	  -0.2706
1520000000.0000	  -0.2035	  -0.3624	   0.6756	  -0.5838	   0.6757	  -0.5850	  -0.3101	  -0.2694
1600000000.0000	  -0.2207	  -0.3727	   0.6492	  -0.6000	   0.6492	  -0.6010	  -0.3341	  -0.2660
1680000000.0000	  -0.2388	  -0.3806	   0.6221	  -0.6144	   0.6221	  -0.6157	  -0.3584	  -0.2613
1760000000.0000	  -0.2543	  -0.3893	   0.5957	  -0.6283	   0.5954	  -0.6292	  -0.3812	  -0.2551
1840000000.0000	  -0.2713	  -0.3958	   0.5692	  -0.6401	   0.5683	  -0.6408	  -0.4042	  -0.2473
1920000000.0000	  -0.2893	  -0.4012	   0.5424	  -0.6502	   0.5417	  -0.6512	  -0.4265	  -0.2379
2000000000.0000	  -0.3053	  -0.4053	   0.5162	  -0.6600	   0.5155	  -0.6602	  -0.4478	  -0.2270
2080000000.0000	  -0.3216	  -0.4086	   0.4896	  -0.6679	   0.4891	  -0.6681	  -0.4688	  -0.2148
2160000000.0000	  -0.3389	  -0.4125	   0.4636	  -0.6744	   0.4633	  -0.6752	  -0.4881	  -0.2017
2240000000.0000	  -0.3549	  -0.4141	   0.4388	  -0.6797	   0.4379	  -0.6806	  -0.5066	  -0.1868
2320000000.0000	  -0.3694	  -0.4144	   0.4137	  -0.6851	   0.4125	  -0.6848	  -0.5248	  -0.1714
2400000000.0000	  -0.3844	  -0.4158	   0.3887	  -0.6892	   0.3879	  -0.6885	  -0.5415	  -0.1550
2480000000.0000	  -0.4003	  -0.4140	   0.3648	  -0.6908	   0.3639	  -0.6911	  -0.5572	  -0.1376
2560000000.0000	  -0.4157	  -0.4114	   0.3412	  -0.6919	   0.3401	  -0.6928	  -0.5720	  -0.1193
2640000000.0000	  -0.4300	  -0.4116	   0.3179	  -0.6932	   0.3173	  -0.6934	  -0.5857	  -0.0996
2720000000.0000	  -0.4443	  -0.4120	   0.2954	  -0.6936	   0.2948	  -0.6936	  -0.5983	  -0.0800
2800000000.0000	  -0.4585	  -0.4091	   0.2737	  -0.6927	   0.2729	  -0.6935	  -0.6092	  -0.0599
2880000000.0000	  -0.4702	  -0.4056	   0.2525	  -0.6921	   0.2516	  -0.6926	  -0.6192	  -0.0392
2960000000.0000	  -0.4832	  -0.4029	   0.2311	  -0.6899	   0.2303	  -0.6904	  -0.6289	  -0.0181
